,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Afghanistan,#DIV/0!,West,West,Southeast,West,Southwest,West,West,Southwest,West,West,Southeast,West,West,West,Southwest,Southeast,West,Northwest,West,West,West,West,East,West,West,West,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Northeast,Northeast,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Northeast,Southwest,Northeast,Northeast,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Northeast,Northeast,Northeast,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Northeast,Southwest,Northeast,Northeast,Southwest,Northeast,Southwest,Southwest,Northeast,Southwest,Northeast,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Northeast,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Southwest,Southwest,Northeast,Southwest,Northeast,Southwest,Southwest,Southwest,Northeast,Northeast,Northeast,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Northeast,Northeast,Southwest,Southwest,Southwest,Southwest,Northeast,Southwest,Northeast,Northeast,Southwest,Northeast,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest
Albania,East,#DIV/0!,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,Northwest,East,West,Southeast,East,West,Northeast,Northwest,West,Southwest,West,East,Southwest,West,Northwest,South,Southwest,Southeast,West,East,East,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,West,Southeast,West,West,Southwest,Northwest,West,West,Southeast,Northwest,South,Northwest,Southeast,West,West,Southwest,Southeast,West,South,Southeast,North,South,Southeast,West,Northwest,East,North,West,West,East,South,Southwest,East,Northwest,Southwest,West,Southeast,Northwest,West,East,West,West,Southwest,Southwest,Southwest,West,West,East,North,Northwest,East,Southeast,East,East,Northwest,Northwest,Southeast,West,West,East,West,Southeast,East,Southeast,East,Northeast,Southeast,East,East,North,Southeast,South,Southwest,South,Northwest,North,Northwest,East,Southeast,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,Southeast,West,East,Northeast,West,East,Northwest,West,West,South,East,South,East,East,Northwest,Southeast,Southeast,West,Southwest,South,East,Southeast,East,East,East,Northwest,Southeast,East,East,Southeast,West,East,Southwest,Southwest,East,Southwest,North,West,West,Southeast,South,Northeast,East,South,West,Southwest,West,West,West,West,West,East,West,South,Southeast,Southwest,North,Southeast,Southwest,Southeast,West,North,Northwest,East,Southeast,South,East,South,West,Southeast,South,Southwest,North,Northwest,East,East,East,South,East,Southeast,Southwest,East,East,West,Southwest,East,East,West,East,West,South,Northeast,Southeast,Northwest,West,Southwest,East,East,West,East,East,Southeast,South,South
Algeria,East,Northeast,#DIV/0!,West,North,South,West,West,Southwest,East,West,East,Northeast,East,West,East,East,West,Northeast,North,West,South,West,East,Southwest,West,Northeast,Southeast,Southwest,Southeast,West,East,Northeast,South,Southeast,East,Southeast,West,Southwest,West,Southeast,Southeast,Southwest,East,East,Southeast,West,Southeast,West,West,South,Northeast,West,West,East,Northeast,Southeast,North,East,West,West,West,East,West,South,East,Northeast,Southeast,Southeast,Southwest,North,East,Northeast,North,West,Southeast,South,Southwest,East,North,South,Northwest,Northeast,Northwest,West,East,West,North,Southwest,Southwest,West,West,West,East,Northeast,Northwest,East,East,East,East,North,North,East,Northeast,West,East,North,East,East,Southeast,West,Northeast,East,East,East,Northeast,East,Southeast,Southwest,East,North,Northeast,North,East,Southeast,Southeast,East,East,Southwest,Northeast,East,Southwest,Southeast,West,East,Northeast,North,East,Northeast,West,Northwest,Southeast,East,South,East,East,North,East,East,West,Southeast,South,West,East,East,Northeast,East,North,East,East,East,East,West,East,Southwest,Southwest,East,West,Northeast,Northwest,West,East,Southeast,Northeast,East,Southeast,West,South,West,West,West,West,West,West,Northeast,South,East,Southwest,Northeast,Southeast,Southwest,East,West,Northeast,Northeast,East,Southeast,South,East,Southeast,Northwest,East,Southeast,Southwest,Northeast,North,East,East,East,Southeast,East,East,South,West,West,West,Northeast,East,East,West,East,West,Southeast,Northeast,East,North,West,Southwest,East,East,West,East,West,East,Southeast,Southeast
American Samoa,West,West,East,#DIV/0!,East,West,East,East,East,West,East,West,West,West,Northeast,West,West,East,Northwest,East,East,East,Northeast,Northwest,East,East,West,West,East,West,East,West,West,East,West,West,West,Northeast,East,East,West,West,East,Northwest,West,West,East,West,Southeast,East,East,West,East,East,West,West,West,East,West,East,East,East,West,East,West,West,Northwest,West,West,East,Northeast,West,Northwest,East,East,West,West,East,West,West,East,East,West,Northeast,East,Northwest,East,East,East,East,East,East,East,Northwest,West,Northeast,West,West,West,West,Northeast,East,West,West,East,Northwest,East,West,Northwest,West,North,West,West,Northwest,West,Northwest,West,West,East,West,East,Northwest,East,Northwest,West,West,West,West,East,West,Northwest,East,West,Northeast,Northwest,West,East,Northwest,West,East,East,West,West,West,Northwest,West,East,West,Southwest,East,East,East,South,Southwest,Northwest,West,Northwest,Northeast,West,West,West,West,East,West,East,East,West,East,West,East,East,West,West,West,Northwest,West,East,East,East,East,East,Northeast,East,West,West,East,West,East,West,West,East,West,East,West,West,West,West,West,Northwest,West,East,West,West,East,Northwest,East,West,Northwest,Northwest,West,West,West,East,North,Southwest,East,East,West,West,East,Northwest,East,West,West,West,Northeast,Northeast,East,Northwest,West,East,West,West,West,West,West
Andorra,East,East,South,West,#DIV/0!,South,West,West,Southwest,East,Southwest,Southeast,East,East,West,East,East,Southwest,Northeast,North,West,South,West,East,Southwest,Southwest,East,South,Southwest,Southeast,West,East,East,South,Southeast,East,South,West,Southwest,West,Southeast,Southeast,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,South,East,West,Southwest,East,Northeast,Southeast,Northeast,Southeast,Southwest,West,Southwest,Southeast,West,South,Southeast,Northeast,Southeast,Southeast,West,Northwest,East,Northeast,North,West,East,South,Southwest,East,Northeast,South,Southwest,East,Northwest,Southwest,East,West,Northwest,South,Southwest,Southwest,West,West,East,East,Northwest,East,East,East,East,Northwest,Northwest,East,East,West,East,Northwest,East,East,Southeast,West,East,East,East,East,Northeast,East,South,South,Southeast,Northeast,Northeast,Northeast,East,Southeast,Southeast,East,Southeast,South,Southeast,East,Southwest,Southeast,West,East,East,East,East,East,West,Southwest,Southeast,East,South,East,East,North,East,Southeast,West,South,South,West,Southeast,East,East,East,North,East,East,East,East,West,East,Southwest,Southwest,East,Southwest,Northeast,West,West,East,South,East,East,Southeast,West,South,West,Southwest,West,West,Southwest,West,East,South,Southeast,Southwest,East,Southeast,South,East,West,East,East,East,Southeast,South,East,Southeast,West,Southeast,Southeast,Southwest,Northeast,Northeast,East,East,East,Southeast,East,Southeast,South,West,West,Southwest,Southeast,East,East,West,East,West,Southeast,East,East,North,West,Southwest,East,East,Southwest,East,West,Southeast,Southeast,Southeast
Angola,Northeast,North,North,East,North,#DIV/0!,West,West,West,Northeast,West,East,North,Northeast,West,Northeast,Northeast,West,North,North,West,Northwest,Northwest,Northeast,West,West,North,Southeast,West,East,West,East,North,Northwest,Northeast,East,North,Northwest,Northwest,West,North,North,West,Northeast,East,East,West,East,West,West,Northwest,North,West,West,North,North,Northeast,North,Northeast,West,West,West,North,West,Northwest,Northeast,North,Southeast,Northeast,Southwest,North,East,North,North,West,Southeast,Northwest,Northwest,Northeast,North,Northwest,Northwest,North,Northwest,West,East,West,North,Northwest,Northwest,West,West,West,East,North,Northwest,Northeast,East,Northeast,Northeast,North,North,North,North,West,East,North,Northeast,Northeast,Northeast,East,North,Northeast,Northeast,East,North,North,Southeast,Northwest,North,North,North,North,East,East,East,East,East,Northwest,North,East,Northwest,East,West,East,North,North,Northeast,North,West,Northwest,Southeast,Northeast,South,East,Northeast,North,East,East,West,North,Northwest,East,East,Northeast,North,East,North,Northeast,Northeast,East,North,West,East,West,West,East,West,North,Northwest,West,Northeast,North,North,Northeast,Northeast,West,Southwest,West,West,West,Northwest,West,East,North,Northwest,Northeast,Northwest,North,East,Northwest,East,West,North,North,East,Northeast,South,Northeast,Northeast,Northwest,East,Northeast,West,North,North,Northeast,East,Northeast,East,East,East,Northwest,East,East,West,North,North,Northeast,West,East,West,Northeast,North,Northeast,North,Northwest,West,Northeast,East,West,East,East,Northeast,East,Southeast
Anguilla,East,East,East,West,East,East,#DIV/0!,Southeast,South,East,Southwest,West,East,East,Northwest,East,East,Southeast,East,Northeast,West,East,North,East,South,Southwest,East,Southeast,South,East,West,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,East,West,Southwest,East,East,East,Northeast,East,Southeast,West,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,Southwest,Southeast,East,East,East,Northeast,East,East,East,North,South,West,West,Northeast,East,East,South,West,West,East,East,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,East,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,Southeast,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,Southwest,West,South,Southwest,West,Southwest,East,East,West,East,East,East,East,East,Southeast,Southeast,South,Southeast,South,North,South,West,East,East,East,East,East,East,East,East,South,East,East,West,East,Southeast,West,East,East,East,East,Southeast,Northeast,East,East,West,East,East,East,West,East,West,West,South,East,East,East,West,West,West,East,East,East,Northeast,Northwest,South,East,West,South,East,West,East,East,East
Antigua and Barbuda,East,East,East,West,East,East,Northwest,#DIV/0!,South,East,Southwest,West,East,East,Northwest,East,East,Southeast,East,Northeast,West,East,North,East,South,Southwest,East,Southeast,South,East,Northwest,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,East,West,Southwest,East,Northeast,East,Northeast,East,South,West,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,North,South,West,West,Northeast,East,East,South,West,West,East,East,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,Southwest,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,Southwest,West,South,Southwest,West,Southwest,Northeast,Northeast,West,East,East,East,East,East,Northwest,Southeast,West,South,Northwest,North,South,West,East,East,East,East,East,East,East,East,Northwest,East,East,West,East,Southeast,West,East,East,East,East,Southeast,Northeast,Northeast,East,West,East,East,East,West,East,West,West,South,East,East,East,Northwest,West,West,East,East,East,Northeast,Northwest,South,East,West,Southwest,East,West,East,East,East
Argentina,Northeast,Northeast,Northeast,West,Northeast,East,North,North,#DIV/0!,Northeast,North,West,Northeast,Northeast,North,Northeast,East,North,East,Northeast,Northwest,Northeast,North,Northeast,North,North,Northeast,East,Northeast,East,North,East,Northeast,Northeast,East,East,Northeast,West,Northeast,North,Northeast,Northeast,West,Northeast,East,East,North,East,West,Northwest,Northeast,Northeast,North,North,Northeast,Northeast,East,East,Northeast,North,North,North,Northeast,Northwest,Northeast,Northeast,East,East,Northeast,South,East,West,East,Northeast,West,East,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,North,West,Northwest,Northeast,Northeast,Northeast,North,North,Northwest,East,Northeast,East,East,East,Northeast,Northeast,East,East,Northeast,Northeast,North,Northwest,Northeast,Northeast,Northeast,East,West,Northeast,Northeast,Northeast,East,East,Northeast,East,Northeast,Northeast,Northeast,East,Northeast,East,East,East,East,East,Northeast,Northeast,West,Northeast,East,Northwest,West,Northeast,Northeast,Northeast,Northeast,North,Northeast,East,East,East,West,Northeast,East,West,West,Northwest,Northeast,Northeast,West,West,Northwest,Northeast,West,East,Northeast,Northeast,West,Northeast,North,West,North,North,West,West,East,Northeast,North,Northeast,Northeast,Northeast,East,East,North,East,North,North,North,North,North,West,Northeast,Northeast,Northeast,Northeast,Northeast,East,Northeast,East,North,Northeast,Northeast,West,East,East,Northwest,Northeast,Northeast,East,Northeast,North,East,Northeast,Northeast,West,Northeast,East,East,West,Northeast,West,West,North,Northeast,Northeast,Northeast,North,West,North,Northeast,Northeast,Northeast,East,Northwest,Northeast,Northeast,West,North,East,West,Northeast,East,East
Armenia,East,West,West,East,West,Southwest,West,West,Southwest,#DIV/0!,West,Southeast,West,East,West,South,East,West,Northwest,West,West,Southwest,West,East,Southwest,West,West,South,Southwest,Southeast,West,Southeast,West,Southwest,South,Southeast,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,West,West,West,Southwest,West,Southwest,Northwest,South,West,West,West,Southwest,West,Southwest,South,Northwest,South,South,West,Northwest,Southeast,Northwest,West,East,South,Southwest,Southwest,Northwest,West,Southwest,West,West,West,West,East,West,West,Southwest,Southwest,West,West,West,East,West,West,Southeast,Southeast,Southeast,South,West,West,Southwest,West,West,East,West,Southwest,East,South,East,West,South,East,East,Northwest,Southwest,South,Southwest,Southwest,West,Northwest,West,East,South,South,Southeast,Southeast,Southwest,West,East,West,South,West,East,Northwest,West,East,West,West,West,South,East,Southwest,East,East,West,Southeast,Southeast,West,Southwest,Southwest,East,Southeast,East,West,East,Northwest,Southeast,East,East,Southwest,West,Southeast,Southwest,West,East,West,Northwest,West,West,Southeast,Southwest,West,East,South,West,Southwest,West,West,West,West,West,East,West,Southwest,South,Southwest,West,South,Southwest,Southeast,West,West,West,Southeast,South,South,East,South,West,Southeast,Southwest,West,Northwest,West,Southwest,East,East,South,Southeast,Southeast,Southwest,East,Southeast,West,West,West,East,West,East,West,South,Northwest,Southeast,West,West,Southwest,East,Southeast,West,East,East,South,South,South
