country1,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Afghanistan,0.0,4223.4,6235.4,13843.0,5718.7,7260.0,12236.7,12240.5,15667.9,2122.5,13197.3,9572.8,4636.5,1913.5,12513.4,1868.5,2477.6,12380.4,3803.8,5355.1,13813.2,7172.7,11149.0,2284.1,14796.7,13105.4,4406.5,7716.6,13608.7,4479.9,12329.9,5842.1,3776.3,7356.4,5723.9,4450.8,6380.3,10008.1,9190.6,13206.0,5675.2,5303.5,16318.9,3322.3,6344.7,5964.0,14178.5,5663.9,15177.8,14313.3,8004.4,4596.3,12866.9,13159.1,3134.2,4571.7,6395.4,5014.2,3535.3,12342.2,12671.1,14997.9,3613.8,14173.7,6944.6,3489.7,4166.4,7709.1,3909.6,15395.2,5950.9,13008.0,4283.1,5585.6,15921.1,9219.1,6996.7,8553.8,2318.3,4930.9,7562.6,6504.1,4106.2,7122.8,12611.0,8008.0,14029.0,5872.1,8243.6,8638.9,12966.2,12783.8,13910.6,4690.8,4261.8,6493.6,1848.7,6166.3,1317.3,2227.2,6170.4,5914.5,3091.6,4844.5,13160.6,6290.0,5845.0,2976.9,1565.1,4879.4,13284.4,4152.1,1982.8,1018.4,3767.3,4121.3,2933.8,8168.5,8430.5,4888.0,5015.4,4105.0,5243.6,4648.4,6237.9,6309.1,4836.7,3450.5,7278.7,4815.9,10801.5,7724.6,6103.7,13550.1,8897.0,3598.3,5228.9,3348.1,4276.7,12294.7,6839.4,6748.5,3068.9,8173.1,10897.3,1678.7,5284.8,11985.3,13715.2,14089.6,6161.4,6604.5,14132.9,12624.1,5259.8,4088.2,7839.9,5122.1,1799.0,424.2,7417.9,3032.3,14254.7,9146.7,14698.4,15332.1,5919.7,18231.6,4335.2,6611.5,12480.2,1858.0,6595.3,3835.1,4060.5,5607.7,12246.6,10428.8,12287.3,12433.1,12248.0,9446.8,12529.8,13631.8,4824.2,7365.7,2464.4,8413.3,4139.4,4463.5,8525.0,5208.2,12250.4,4257.0,4606.7,10829.9,3885.6,8549.1,5402.9,4792.6,6211.5,3182.8,4448.4,12792.4,4564.8,5119.6,2633.8,5261.6,632.8,5644.0,3885.8,7735.8,7351.6,13366.5,13750.5,12705.4,5302.7,2947.3,919.0,12509.4,12291.0,12354.7,5155.1,3416.8,1783.8,5826.1,11956.1,14823.5,870.2,11793.6,13455.9,4635.6,13166.5,2803.3,6705.2,7145.6
Albania,4223.4,0.0,2227.6,16864.4,1546.5,5801.3,8144.7,8119.3,12234.9,2101.0,9117.2,13742.3,836.5,2311.4,8814.8,3269.7,6697.1,8200.6,1512.3,1596.7,10250.6,3942.0,7345.4,6464.8,10677.4,8998.3,368.7,7043.3,9599.7,7437.9,8260.6,10063.5,474.5,3841.2,5029.2,8672.3,3821.9,8111.0,5065.1,9463.7,3827.3,2851.7,12630.0,7057.5,10396.8,9806.0,10053.0,6356.6,17795.6,10446.9,4509.5,596.2,9098.8,9061.3,1339.1,1030.0,5006.8,1849.7,3918.3,8198.2,8690.6,10845.0,1865.6,10544.2,4486.9,3445.3,1969.7,7582.6,4072.1,12844.1,2931.4,16637.9,2341.0,1549.2,17220.4,11115.4,4726.4,4608.6,1927.5,1339.8,4233.4,2280.8,270.6,4777.4,8438.8,11719.3,10491.6,1998.3,4532.5,4736.7,8744.2,8845.7,10230.4,8721.0,669.8,3622.8,5942.0,10383.8,3122.3,2256.3,2519.3,2336.5,1729.4,639.3,9309.3,9374.0,1958.1,1860.4,3730.7,4898.9,15726.2,172.1,2795.2,4502.4,7957.3,1777.8,1603.2,7878.4,4838.8,1665.8,1078.7,1582.2,1455.6,8690.2,7184.1,6196.9,9018.4,6751.4,3487.9,767.9,13899.2,3681.1,7827.2,10722.9,12633.5,954.0,1087.0,6413.9,184.9,8173.9,2640.6,6809.9,7278.0,7099.6,14406.9,5889.1,1663.0,16071.0,17903.7,10327.2,2854.8,3729.6,17377.7,16816.1,8386.2,141.3,11427.8,2293.7,3996.9,4541.4,11448.8,1687.5,10296.8,13266.2,10796.5,11110.6,10026.3,16514.8,1199.3,2411.9,8434.9,3352.4,4603.7,658.2,5853.2,4872.5,8147.6,7873.4,8180.7,8270.6,8154.0,5912.8,8361.4,16746.0,704.6,4738.6,3004.5,4459.9,325.4,6217.3,4799.0,9380.6,8155.9,836.0,694.3,14767.4,4756.2,7944.9,8735.0,3954.7,2013.2,6990.6,3284.3,8569.9,2113.4,1144.3,1793.4,9158.9,4308.0,5472.4,8106.9,11958.4,4078.5,16248.6,17364.9,8518.2,1236.7,1307.2,3340.5,8613.7,15628.9,8287.6,4571.5,1182.2,3696.9,2339.4,9168.5,11270.0,3680.3,15731.4,9274.0,8839.6,16540.6,3936.4,6062.0,6725.4
Algeria,6235.4,2227.6,0.0,18266.0,1610.1,4679.7,6645.5,6570.2,10007.7,4175.3,7578.2,15282.9,2434.9,4391.8,7738.2,4834.9,8692.8,6521.9,3568.7,2506.0,9148.3,2074.1,6311.7,8519.1,8568.8,7424.5,2270.2,6097.1,7430.0,8430.9,6790.7,12012.3,2694.2,1780.6,4609.0,10636.8,2549.5,8492.6,2957.3,8282.0,3123.4,2244.5,10420.1,9258.8,11925.6,11147.0,8398.3,6338.9,18006.0,9064.3,2391.9,2241.5,7925.9,7498.8,3102.0,2688.7,4152.1,3197.3,4616.8,6600.4,7315.1,9113.8,2877.9,9358.1,3060.1,4174.9,3844.0,6827.0,4571.1,10662.7,3815.9,18715.4,4163.9,2019.8,16855.5,10866.8,3363.5,2388.8,4066.0,2672.5,2241.3,1115.0,2229.3,5548.8,6768.3,13946.6,9384.0,2406.7,2328.7,2511.1,6881.8,7510.6,9032.6,10872.3,2630.3,4355.3,7762.9,12234.2,4983.4,4042.4,2933.5,2953.6,3222.6,1826.6,8033.1,11571.8,2373.6,3358.1,5946.8,4957.3,17093.8,2371.4,4452.1,6665.7,10000.6,3679.5,3315.7,6978.0,2662.3,1553.1,2232.1,3503.9,2447.9,10836.7,7107.5,5766.4,10804.9,8038.3,1295.5,1485.1,15955.7,1493.9,8050.2,10088.9,14861.1,3159.8,1818.4,8641.0,2280.3,6622.3,941.8,6325.2,9294.6,5924.6,16584.7,7911.0,2692.9,18220.7,18451.6,9049.3,1328.9,2223.2,18698.6,18684.4,10601.3,2365.2,13653.8,3641.0,5491.9,6485.1,13615.1,3255.6,8834.4,15381.9,8603.9,9204.5,12145.6,14972.4,3025.9,1556.2,6989.6,4904.1,3473.9,2852.8,7989.7,4484.0,6636.2,5908.1,6654.2,6630.0,6650.8,5395.7,6703.1,18300.4,2011.8,3126.6,4350.3,2240.8,2474.8,6808.8,2586.0,11137.0,6651.7,2765.4,2326.8,16984.7,5340.5,6867.1,10959.6,3903.1,1465.3,8540.9,3406.5,6653.5,3791.2,2162.4,3607.1,11352.2,6429.1,5218.6,10080.5,13812.0,2150.8,17789.1,19184.7,6806.3,993.2,3324.6,5423.0,7347.4,17650.6,6819.4,4396.7,3394.0,5223.0,3064.7,8787.0,9043.3,5821.7,17954.7,7546.7,10857.6,18419.9,5005.9,5359.0,5989.1
American Samoa,13843.0,16864.4,18266.0,0.0,16772.4,17054.3,12274.5,12388.1,10421.4,15561.5,11431.7,5961.9,16292.5,15368.0,10945.2,15596.3,11593.6,12556.6,15352.3,15956.1,9616.6,19036.6,12281.4,11652.1,11277.4,11608.0,16635.9,15649.0,12530.0,12817.8,12113.9,8546.9,16516.2,18776.0,17071.9,9816.7,19197.0,9776.0,16392.2,10492.5,18547.3,19071.8,9854.1,10547.6,9115.1,10004.9,10770.1,15288.0,1340.9,9896.0,18189.6,16549.8,10825.5,11527.8,16715.3,16029.2,17600.4,15344.2,16478.8,12403.9,11545.4,10178.1,17443.3,9472.2,18607.5,16814.7,14926.9,14928.2,16651.8,10130.0,14551.6,1150.5,14565.3,16390.0,2249.1,10879.6,18326.1,17313.5,15547.4,15911.4,18648.0,17153.3,17019.6,12756.6,12317.9,5837.4,9395.4,15940.6,17852.6,17306.1,12435.1,11330.6,9789.6,9199.2,16249.9,13964.9,12709.8,8480.3,15158.7,16016.4,15381.0,15396.4,16866.7,16934.0,10793.1,7784.1,15978.1,16776.8,13610.3,16560.4,1215.4,16692.3,15821.0,13138.9,10278.3,15114.3,16619.3,14767.6,17749.0,18471.0,16356.4,15308.4,16047.5,9247.5,14561.3,15953.5,9905.1,12978.4,18504.9,17562.7,3140.2,17703.1,13553.1,8461.9,4961.0,15952.8,16727.9,10856.2,16724.5,12341.5,17418.6,15412.3,10992.4,15781.5,2947.9,12280.2,15784.6,2673.2,3289.8,9830.3,19594.0,19416.8,530.1,2787.3,8822.5,16767.2,6007.6,14874.3,15104.4,13719.0,6563.1,16783.3,10179.2,5096.7,11505.2,10313.1,8085.0,4608.3,15747.3,16711.3,11906.9,15551.6,18275.7,16221.1,11102.4,17180.5,12293.5,15241.7,12289.6,12417.4,12272.9,12964.8,12366.4,220.5,16705.7,18407.1,16187.6,17413.5,16542.9,14576.9,17586.8,9628.2,12272.9,16085.2,16437.3,3273.8,15928.3,14851.9,8566.6,17550.0,16817.5,12282.0,17828.1,12723.7,14864.0,16392.0,16319.6,8590.0,13463.6,16439.2,10325.8,7001.7,18858.8,616.0,934.3,12325.6,17830.9,16317.4,14457.8,11436.6,1552.9,12085.6,17178.5,15749.6,15306.5,15301.8,9624.9,11336.0,13976.2,2467.7,11648.3,9517.1,760.8,15879.8,16392.1,15766.2
Andorra,5718.7,1546.5,1610.1,16772.4,0.0,6178.6,6599.3,6576.6,11125.6,3608.0,7571.9,15277.2,1158.2,3809.8,7304.6,4800.8,8172.2,6672.2,2300.7,911.4,8745.9,3683.7,5830.9,7909.7,9311.5,7455.0,1312.8,7564.1,8328.4,8898.4,6714.3,11528.8,1952.4,3372.8,5830.7,10143.6,4038.1,7161.5,3822.4,7940.8,4412.8,3420.3,11406.2,8312.3,11942.9,11344.6,8513.5,7407.8,17079.3,8905.7,3941.6,1128.6,7575.1,7517.2,2864.5,1338.2,5545.6,1627.3,5216.5,6659.2,7146.0,9312.0,3169.0,9026.8,4611.6,4737.3,2411.9,8238.7,5294.3,11996.9,2225.4,17117.8,2681.2,412.0,16128.0,12127.9,4905.1,3613.3,3400.6,1170.2,3842.2,929.3,1744.8,4024.8,6907.8,12760.6,8987.6,834.3,3776.6,3774.7,7256.4,7303.7,8709.3,10045.1,1501.0,2811.6,7475.1,11883.2,4665.1,3801.1,1411.3,1376.1,3203.9,908.0,7773.9,10240.8,795.5,3343.1,5005.9,5948.7,15560.6,1581.2,4333.0,5875.4,9392.7,2279.8,3127.7,8442.5,4146.5,2293.3,811.0,2138.0,880.0,10021.3,8222.7,7024.0,10542.7,8268.6,2819.3,1322.3,14403.3,2660.5,9019.8,9347.7,13643.7,2167.7,491.2,7499.2,1455.4,6631.2,1419.7,7618.8,8736.5,7457.0,15126.1,7359.5,1101.3,17183.7,19433.0,8795.8,2832.2,3771.9,17280.0,18076.9,9339.1,1666.2,12412.6,2047.9,5525.3,6057.4,12708.9,3181.3,8751.1,14557.8,9552.4,9617.8,11371.8,14984.7,1680.9,897.1,6888.4,4882.5,4947.3,1896.8,6608.8,5686.6,6602.7,7479.7,6636.5,6736.3,6608.8,4504.4,6829.0,16757.2,894.6,4718.5,4486.7,3469.4,1579.8,7532.0,3997.6,10908.6,6610.7,1562.0,1138.9,15807.7,6035.4,8384.1,9747.1,4912.0,502.9,8536.2,4292.0,7104.6,2273.1,707.6,3336.4,10402.4,5732.7,6379.2,9579.1,13442.1,3759.9,16229.4,17616.1,6993.5,1184.9,2849.6,4813.8,7076.5,16058.8,6741.3,5491.1,2384.7,5226.9,1472.9,7864.0,10165.9,5097.8,16687.1,7747.6,10281.3,16812.2,5364.9,6723.5,7379.3
Angola,7260.0,5801.3,4679.7,17054.3,6178.6,0.0,9463.4,9302.1,8508.5,6331.2,10053.3,11994.3,6511.9,6458.1,11060.8,5428.6,8774.4,8964.9,7255.8,6959.0,12102.3,2848.0,9991.1,8911.2,8773.1,9861.4,6103.4,1428.7,7560.5,5958.4,9630.2,10862.0,6022.3,3366.8,1586.2,9977.1,2142.9,13115.0,5508.4,11301.4,1999.0,2949.6,9242.8,10406.7,9560.3,8579.2,10352.3,2836.0,16406.7,11481.5,3320.5,6240.8,11044.8,9941.4,5383.4,6763.5,900.7,7517.1,3735.4,9214.8,10207.6,10639.8,4432.8,12100.8,1652.1,3787.9,7763.5,2215.8,3366.4,8170.7,8387.3,16330.0,8136.5,6550.3,16522.0,6327.8,1342.5,4567.1,6472.0,6946.7,2977.4,5779.2,5580.7,10200.9,9158.4,14267.3,12269.4,7012.6,3844.6,4453.1,8688.9,10432.2,11836.8,11117.9,6466.2,8989.9,7553.0,10661.5,6149.7,5627.5,7577.1,7553.6,5014.8,5901.4,10937.7,13460.4,6974.1,5024.3,8146.1,2537.2,18239.5,5965.5,5495.8,8220.0,9881.2,7570.9,5338.0,2303.9,3598.6,4153.4,6517.3,7376.5,6856.0,11057.2,3224.2,1801.5,9466.1,6332.0,3988.8,5230.4,17069.5,4757.1,4358.6,13598.7,14825.7,6575.1,6176.8,10606.3,5971.2,9334.3,5451.6,2069.2,9272.5,1302.6,16372.4,8360.2,7120.4,15013.2,13773.7,11690.9,3363.5,2463.6,16553.1,14522.3,12472.9,5860.5,14346.3,7989.4,5512.5,7174.4,13083.7,5121.3,11137.2,13755.1,8142.0,10133.1,11779.1,14544.4,6994.3,6219.8,9826.6,5422.9,1234.6,6368.4,10957.2,1675.2,9430.9,3279.0,9411.8,9134.6,9458.8,9737.7,9143.3,17036.1,6130.9,1771.4,4881.5,4560.6,6122.8,4206.2,3938.5,9604.5,9457.4,6634.1,6358.3,15260.0,3621.9,2206.2,12524.5,2492.3,6138.9,7277.9,2990.5,8351.8,7907.5,6497.5,5558.2,11831.9,7829.4,1946.1,9630.8,11744.7,2893.0,17533.0,16151.7,9078.4,5067.5,5838.8,7036.5,10436.7,17002.1,9654.5,2116.7,6728.6,5478.9,7642.3,12845.6,7823.1,7534.7,15522.1,9554.8,10358.2,16790.7,4490.2,1106.4,1488.2
Anguilla,12236.7,8144.7,6645.5,12274.5,6599.3,9463.4,0.0,186.3,6269.3,10180.3,972.6,18120.7,7614.9,10370.6,1662.6,11350.9,14551.3,672.4,8461.0,6881.6,2697.8,7106.2,1571.3,14199.9,3817.6,869.0,7896.6,10546.5,3792.3,14974.6,167.6,17475.7,8542.8,6612.9,10448.9,16359.2,8227.6,5540.7,4156.0,1848.6,9158.6,8646.2,6031.6,13870.9,18538.9,17776.9,1942.6,12193.9,11402.5,2420.5,6329.4,7686.2,1582.9,923.4,9435.2,7666.0,9610.8,7266.3,11219.5,359.4,751.4,2768.1,9487.1,2804.8,8198.5,10801.5,8185.8,11335.6,11110.6,7763.7,6487.9,13425.0,8174.1,6674.5,10246.8,14556.6,8427.0,5129.7,9947.1,7306.1,6794.8,5962.5,8326.0,6092.8,677.7,15367.9,2902.3,6364.8,5816.9,5184.9,1545.0,976.2,2492.1,15500.5,7991.3,6125.6,14052.8,18048.8,11263.9,10391.1,6090.1,6349.5,9709.4,7505.4,1505.2,13578.9,6392.4,9851.6,11151.2,11178.0,11789.6,8177.3,10904.0,12126.1,15510.5,8189.3,9692.8,11115.8,5956.4,8197.4,7239.3,8172.4,6994.0,15517.8,12687.0,11233.8,17038.9,14683.8,6231.2,7736.0,13446.0,5453.3,13821.0,4137.8,15367.5,8645.2,7074.6,12678.6,8051.7,188.5,5783.3,11521.1,15017.3,9965.7,14229.1,13762.9,6955.2,14934.5,13995.3,2445.6,7485.9,7785.1,12370.7,14728.0,13429.9,8265.5,14999.2,7249.3,12057.0,12609.9,16569.9,9709.6,2194.8,16815.4,4636.3,3303.7,16524.0,8440.1,7904.7,5744.0,372.5,11428.9,8851.3,8426.9,11104.6,10395.1,43.5,7422.8,100.2,526.8,16.1,3245.7,610.1,12466.9,7479.1,7865.6,10943.6,5196.2,8159.1,13196.0,5642.0,17415.6,19.8,7984.4,7660.2,15279.3,11856.3,10655.6,13906.3,10239.5,6137.4,15115.0,9915.3,1758.2,7809.4,7138.2,9924.7,15346.4,12106.3,11074.8,15853.7,18613.3,6969.4,12301.6,12963.8,856.4,7326.4,9448.8,11317.7,991.1,13353.2,193.7,10536.2,8820.5,11767.9,6451.3,3809.7,5668.9,11495.5,14707.8,1359.9,16311.7,12997.4,11651.4,10560.5,10884.6
Antigua and Barbuda,12240.5,8119.3,6570.2,12388.1,6576.6,9302.1,186.3,0.0,6143.7,10169.4,1012.8,18172.8,7609.8,10362.6,1843.9,11305.5,14583.9,491.6,8480.3,6887.7,2839.2,6975.2,1716.6,14241.5,3694.0,879.3,7879.7,10373.2,3627.4,14860.2,337.0,17585.8,8525.0,6487.0,10308.7,16424.8,8098.7,5719.5,4028.7,2002.1,9033.9,8541.9,5926.5,13965.1,18490.7,17673.8,1941.4,12044.7,11490.2,2509.4,6188.6,7672.8,1750.0,945.0,9398.8,7669.0,9464.0,7292.1,11125.4,187.7,905.6,2757.6,9423.7,2928.7,8055.6,10713.7,8220.2,11159.7,11007.5,7630.9,6540.5,13538.3,8219.5,6665.4,10336.6,14371.7,8280.1,4998.7,9941.2,7313.7,6658.2,5916.8,8294.6,6202.5,531.3,15553.7,3037.6,6369.7,5679.4,5048.9,1385.3,1130.4,2621.2,15616.8,7985.9,6197.8,14044.1,18146.0,11241.3,10358.6,6113.5,6373.4,9661.9,7480.3,1649.0,13745.3,6396.2,9804.0,11189.4,11050.5,11928.6,8157.0,10864.4,12161.1,15578.8,8217.9,9654.6,10936.2,5810.2,8123.2,7232.6,8195.2,6997.3,15631.9,12526.2,11077.4,17062.9,14604.7,6119.3,7691.1,13617.4,5349.9,13660.6,4302.9,15551.7,8644.0,7055.7,12781.0,8031.2,54.6,5721.0,11356.4,15064.7,9789.7,14391.3,13788.8,6967.1,15039.4,14022.2,2558.9,7380.7,7657.8,12470.9,14800.6,13577.5,8242.3,15184.1,7290.0,12006.2,12607.3,16752.3,9665.1,2264.3,16987.3,4495.4,3247.5,16669.7,8487.1,7915.5,5712.3,524.6,11382.6,8708.3,8419.3,11218.4,10257.8,144.0,7237.6,110.0,359.6,174.9,3352.6,454.4,12583.2,7461.2,7717.3,10885.7,5069.0,8143.5,13070.9,5499.1,17439.0,172.2,7984.2,7650.3,15425.6,11748.3,10474.3,14056.4,10123.0,6108.1,15069.3,9812.9,1584.3,7848.1,7130.4,9892.1,15485.3,12129.3,10931.6,15907.6,18799.0,6835.7,12430.0,13060.5,707.4,7273.1,9425.6,11321.7,1168.7,13493.2,357.8,10407.7,8823.9,11719.7,6478.7,3995.6,5524.4,11513.6,14831.6,1287.1,16396.3,13116.8,11573.9,10401.2,10717.0
Argentina,15667.9,12234.9,10007.7,10421.4,11125.6,8508.5,6269.3,6143.7,0.0,14033.0,5677.1,12725.7,12263.0,14236.5,7169.3,13801.2,17064.3,5728.6,13425.1,11881.0,6681.0,8621.4,7832.1,17324.8,2451.9,5621.2,12236.8,8362.3,2916.3,13259.5,6292.1,16248.0,12701.6,8538.2,10089.1,16929.1,9311.2,11227.6,7303.8,6652.4,9992.8,10416.5,767.6,18905.4,14482.9,14051.0,4885.1,10675.5,9084.8,5727.5,7861.9,12149.7,6797.7,5627.4,12872.1,12463.2,9331.9,12538.5,12229.2,5963.2,6363.0,4314.9,12170.8,6351.8,8728.1,12203.6,13475.5,8641.3,11867.0,1520.8,12226.4,11068.8,13652.5,11440.7,8452.7,9248.3,8671.2,7629.9,13997.6,12257.1,8250.4,10198.7,12224.5,12325.1,5613.8,16079.9,6611.1,11431.2,7737.9,7498.5,4815.5,6416.5,6387.2,18215.1,12553.5,12098.6,15931.1,15655.7,14400.0,13599.5,11481.1,11714.0,12755.6,11765.5,6418.0,18075.1,11434.8,12842.8,15936.4,11014.2,11088.7,12374.3,13714.5,16479.5,17556.6,13375.7,12995.5,8183.0,7474.2,11044.9,11936.3,13253.9,11922.8,18186.2,10404.7,9781.7,15947.4,14159.4,8774.8,11486.9,13538.3,8571.6,11076.2,7980.7,15165.3,13150.6,11567.2,18624.8,12276.0,6107.3,9730.6,9506.6,17342.2,7801.1,13296.8,16843.6,12041.1,11677.4,9408.3,6106.0,9700.9,9125.6,10051.5,10821.7,19041.5,12372.9,16357.3,12757.5,14007.0,15656.4,16129.0,12838.4,5494.6,14297.0,1731.3,3432.6,17125.7,6125.3,12806.4,10304.2,6276.8,13816.3,9076.5,12844.0,17323.7,10183.7,6233.9,5264.2,6174.2,5798.5,6253.3,9482.7,5694.8,10618.7,11897.8,8312.0,13203.5,7778.9,12466.1,12156.4,7462.3,15706.5,6249.6,12654.1,12203.9,13022.3,12091.0,7701.6,18975.7,10912.1,10646.9,15100.6,11220.4,4751.9,13220.5,11833.1,13298.8,18316.8,16136.6,10311.8,17093.1,14680.7,8449.5,10949.3,10306.9,5441.8,11000.4,13218.9,15161.8,6708.3,11940.6,6283.3,10622.2,13385.6,13938.0,11854.6,8986.3,966.4,15646.1,12066.1,4973.5,17191.3,11020.7,12990.0,9241.9,8954.9
Armenia,2122.5,2101.0,4175.3,15561.5,3608.0,6331.2,10180.3,10169.4,14033.0,0.0,11150.7,11671.0,2570.1,216.6,10662.1,1652.1,4597.3,10279.9,1988.1,3338.2,12055.7,5422.1,9228.2,4376.0,12735.2,11044.1,2295.9,7223.5,11603.9,5830.0,10285.4,7963.4,1657.7,5497.5,5052.2,6572.1,4867.5,9007.9,7109.7,11340.6,4418.3,3734.8,14539.8,5123.3,8374.1,7874.0,12110.5,5751.7,16872.8,12392.2,6172.1,2497.1,10983.5,11102.9,1161.3,2550.5,5432.9,3143.8,3138.7,10259.7,10674.2,12916.4,1972.4,12385.0,5515.6,2805.3,2501.4,7505.1,3455.5,14292.7,4213.9,14921.6,2758.5,3505.8,17165.0,10182.0,5657.0,6544.2,286.6,2930.9,5786.1,4381.7,1992.1,5752.7,10514.7,9870.2,12289.8,3842.3,6326.4,6648.0,10844.4,10809.8,12089.1,6697.0,2194.5,4852.8,3874.7,8285.6,1149.2,769.3,4219.6,3977.0,1360.1,2724.2,11236.0,7777.7,3810.7,1320.3,1954.5,4498.5,14718.8,2032.7,1214.1,2505.8,5868.4,2384.2,1068.2,7907.5,6567.4,2988.2,2942.7,2294.5,3213.9,6661.3,6515.8,6006.8,6934.8,4971.8,5311.4,2718.0,12421.5,5668.8,6813.2,12196.5,10783.2,1566.2,3121.2,4705.5,2157.9,10223.9,4724.9,6576.4,5181.7,7501.6,12709.6,3791.2,3300.9,14055.2,15828.2,12224.6,4333.0,4972.1,15955.1,14735.5,6739.1,1965.9,9635.9,3380.2,2301.7,2449.4,9440.1,1260.3,12281.2,11219.9,12762.9,13210.7,7976.4,18164.0,2379.6,4496.0,10448.7,1729.4,5356.6,1755.7,4647.1,4901.7,10186.7,9115.2,10223.7,10341.5,10190.7,7627.5,10435.3,15373.8,2715.0,5885.3,1794.5,6398.9,2029.7,5069.0,6606.6,7301.4,10192.8,2220.4,2520.2,12830.3,3869.2,8145.9,7007.5,3924.0,4095.7,5030.7,3346.3,10670.4,2883.3,3042.6,791.8,7194.0,2253.7,5246.1,6006.7,9857.9,5590.7,14998.1,15683.3,10601.4,3212.1,850.7,1252.9,10555.4,14065.3,10311.5,4475.4,1438.8,2023.0,3914.1,10570.6,13094.3,1654.3,13803.7,11355.5,6746.2,14987.5,2738.0,6152.5,6745.3
